model,swept_param,prune_rate,lambda_k,cooldown,plateau_tol,acc_mean,acc_std,k_mean,k_ratio_mean,n_prunes_mean,param_value
A-SAND,cooldown,0.1,0.15,2,0.003,0.8633333444595337,0.005773497185855025,1871.3333333333333,0.18713333333333335,25.666666666666668,2.0
A-SAND,cooldown,0.1,0.15,3,0.003,0.8233333230018616,0.01154699437171005,887.0,0.0887,27.333333333333332,3.0
A-SAND,cooldown,0.1,0.15,5,0.003,0.850000003973643,0.026457521671453207,2393.3333333333335,0.23933333333333331,17.333333333333332,5.0
A-SAND,lambda_k,0.1,0.1,3,0.003,0.8399999936421713,0.030000001192097843,2591.3333333333335,0.2591333333333333,21.333333333333332,0.1
A-SAND,lambda_k,0.1,0.15,3,0.003,0.8366666634877523,0.0513160312752493,3002.6666666666665,0.3002666666666667,20.666666666666668,0.15
A-SAND,lambda_k,0.1,0.2,3,0.003,0.8533333341280619,0.03055050801480895,1204.0,0.1204,25.0,0.2
A-SAND,plateau_tol,0.1,0.15,3,0.001,0.8566666841506958,0.01154699437171005,2451.0,0.2451,25.333333333333332,0.001
A-SAND,plateau_tol,0.1,0.15,3,0.003,0.8333333333333334,0.020816664003316436,835.0,0.0835,28.0,0.003
A-SAND,plateau_tol,0.1,0.15,3,0.005,0.800000011920929,0.009999990463256836,637.3333333333334,0.06373333333333332,30.333333333333332,0.005
A-SAND,prune_rate,0.05,0.15,3,0.003,0.850000003973643,0.010000020265594012,2728.0,0.2728,30.666666666666668,0.05
A-SAND,prune_rate,0.1,0.15,3,0.003,0.8433333237965902,0.0057735315986127385,630.6666666666666,0.06306666666666667,29.0,0.1
A-SAND,prune_rate,0.15,0.15,3,0.003,0.8366666634877523,0.025166118415865114,971.6666666666666,0.09716666666666667,21.333333333333332,0.15
A-SAND-Hybrid,cooldown,0.1,0.15,2,0.003,0.8133333325386047,0.015275237748903657,5154.333333333333,0.5154333333333333,14.0,2.0
A-SAND-Hybrid,cooldown,0.1,0.15,3,0.003,0.8300000031789144,0.02000001072884346,930.3333333333334,0.09303333333333334,30.0,3.0
A-SAND-Hybrid,cooldown,0.1,0.15,5,0.003,0.8166666626930237,0.020816640142347336,3812.3333333333335,0.3812333333333333,13.666666666666666,5.0
A-SAND-Hybrid,lambda_k,0.1,0.1,3,0.003,0.8033333222071329,0.028867520342032812,4842.0,0.48419999999999996,17.0,0.1
A-SAND-Hybrid,lambda_k,0.1,0.15,3,0.003,0.8066666722297668,0.015275237748903657,1988.3333333333333,0.19883333333333333,23.666666666666668,0.15
A-SAND-Hybrid,lambda_k,0.1,0.2,3,0.003,0.8100000023841858,0.017320491557565074,5459.0,0.5458999999999999,13.666666666666666,0.2
A-SAND-Hybrid,plateau_tol,0.1,0.15,3,0.001,0.8199999928474426,0.017320491557565074,2343.0,0.23429999999999998,22.666666666666668,0.001
A-SAND-Hybrid,plateau_tol,0.1,0.15,3,0.003,0.8100000023841858,0.017320491557565074,821.6666666666666,0.08216666666666667,30.333333333333332,0.003
A-SAND-Hybrid,plateau_tol,0.1,0.15,3,0.005,0.8333333333333334,0.02081666400331641,3318.0,0.33180000000000004,18.666666666666668,0.005
A-SAND-Hybrid,prune_rate,0.05,0.15,3,0.003,0.8399999936421713,0.017320525970322787,3327.6666666666665,0.33276666666666666,29.333333333333332,0.05
A-SAND-Hybrid,prune_rate,0.1,0.15,3,0.003,0.8066666722297668,0.005773497185855025,4801.333333333333,0.4801333333333333,14.333333333333334,0.1
A-SAND-Hybrid,prune_rate,0.15,0.15,3,0.003,0.7799999912579855,0.02000001072884346,2452.0,0.2452,17.666666666666668,0.15
