test_accuracy,final_k,k_ratio,n_prunes,time_sec,prune_rate,lambda_k,cooldown,plateau_tol,model,swept_param,seed,dataset
1.0,93,0.2325,33,26.29224133491516,0.05,0.15,3,0.003,A-SAND,prune_rate,42,coil
0.9965277910232544,102,0.255,29,26.352699518203735,0.05,0.15,3,0.003,A-SAND,prune_rate,43,coil
0.9965277910232544,97,0.2425,30,26.105323314666748,0.05,0.15,3,0.003,A-SAND,prune_rate,44,coil
1.0,44,0.11,25,26.098801136016846,0.1,0.15,3,0.003,A-SAND,prune_rate,42,coil
0.9965277910232544,44,0.11,23,26.362505674362183,0.1,0.15,3,0.003,A-SAND,prune_rate,43,coil
0.9965277910232544,64,0.16,21,25.887553215026855,0.1,0.15,3,0.003,A-SAND,prune_rate,44,coil
1.0,51,0.1275,17,25.99567198753357,0.15,0.15,3,0.003,A-SAND,prune_rate,42,coil
0.9895833134651184,44,0.11,17,26.094997882843018,0.15,0.15,3,0.003,A-SAND,prune_rate,43,coil
1.0,51,0.1275,21,25.912811040878296,0.15,0.15,3,0.003,A-SAND,prune_rate,44,coil
0.9930555820465088,40,0.1,24,25.856791019439697,0.1,0.1,3,0.003,A-SAND,lambda_k,42,coil
1.0,48,0.12,27,26.126155376434326,0.1,0.1,3,0.003,A-SAND,lambda_k,43,coil
0.9965277910232544,48,0.12,23,26.065812826156616,0.1,0.1,3,0.003,A-SAND,lambda_k,44,coil
0.9895833134651184,58,0.145,22,26.13865637779236,0.1,0.15,3,0.003,A-SAND,lambda_k,42,coil
1.0,58,0.145,22,26.22955560684204,0.1,0.15,3,0.003,A-SAND,lambda_k,43,coil
0.9965277910232544,48,0.12,22,25.854782342910767,0.1,0.15,3,0.003,A-SAND,lambda_k,44,coil
0.9965277910232544,71,0.1775,17,26.080753803253174,0.1,0.2,3,0.003,A-SAND,lambda_k,42,coil
0.9965277910232544,58,0.145,20,26.75436520576477,0.1,0.2,3,0.003,A-SAND,lambda_k,43,coil
0.9965277910232544,44,0.11,22,28.14172387123108,0.1,0.2,3,0.003,A-SAND,lambda_k,44,coil
1.0,44,0.11,26,28.47029948234558,0.1,0.15,2,0.003,A-SAND,cooldown,42,coil
0.9965277910232544,53,0.1325,22,27.58799695968628,0.1,0.15,2,0.003,A-SAND,cooldown,43,coil
1.0,86,0.215,16,27.531286239624023,0.1,0.15,2,0.003,A-SAND,cooldown,44,coil
1.0,53,0.1325,23,28.167792797088623,0.1,0.15,3,0.003,A-SAND,cooldown,42,coil
1.0,44,0.11,23,27.392120838165283,0.1,0.15,3,0.003,A-SAND,cooldown,43,coil
0.9965277910232544,53,0.1325,24,27.22378396987915,0.1,0.15,3,0.003,A-SAND,cooldown,44,coil
