model,swept_param,prune_rate,lambda_k,cooldown,plateau_tol,acc_mean,acc_std,k_mean,k_ratio_mean,n_prunes_mean,param_value
A-SAND,cooldown,0.1,0.15,2,0.003,0.9459055066108704,0.005530265543138665,199.0,0.3225283630470016,12.0,2.0
A-SAND,cooldown,0.1,0.15,3,0.003,0.9497541189193726,0.004366172080197226,219.0,0.3549432739059967,10.333333333333334,3.0
A-SAND,cooldown,0.1,0.15,5,0.003,0.9491126736005148,0.004814343479571144,234.66666666666666,0.3803349540788763,10.0,5.0
A-SAND,lambda_k,0.1,0.1,3,0.003,0.9503955642382304,0.0020619200981073565,212.0,0.3435980551053484,11.666666666666666,0.1
A-SAND,lambda_k,0.1,0.15,3,0.003,0.950823187828064,0.005455349995593551,178.0,0.2884927066450567,12.333333333333334,0.15
A-SAND,lambda_k,0.1,0.2,3,0.003,0.9450502395629883,0.0018516816666456163,212.0,0.3435980551053484,10.666666666666666,0.2
A-SAND,plateau_tol,0.1,0.15,3,0.001,0.9580928087234497,0.0022526611830968233,469.3333333333333,0.7606699081577526,2.6666666666666665,0.001
A-SAND,plateau_tol,0.1,0.15,3,0.003,0.9486850500106812,0.005772948265075642,227.66666666666666,0.3689897352782279,10.0,0.003
A-SAND,plateau_tol,0.1,0.15,3,0.005,0.9386358857154846,0.002428424677412549,104.33333333333333,0.1690977849810913,19.0,0.005
A-SAND,prune_rate,0.05,0.15,3,0.003,0.9478298226992289,0.004982336128174448,303.6666666666667,0.49216639654240946,14.666666666666666,0.05
A-SAND,prune_rate,0.1,0.15,3,0.003,0.9482574264208474,0.003703328920533743,190.66666666666666,0.309022150189087,12.0,0.1
A-SAND,prune_rate,0.15,0.15,3,0.003,0.9435535470644633,0.0023127116382652417,138.0,0.2236628849270664,10.333333333333334,0.15
A-SAND-Hybrid,cooldown,0.1,0.15,2,0.003,0.9499679406483968,0.0033329788221015066,105.33333333333333,0.17071853052404104,21.0,2.0
A-SAND-Hybrid,cooldown,0.1,0.15,3,0.003,0.9467607537905375,0.005772918462778911,103.66666666666667,0.16801728795245807,19.666666666666668,3.0
A-SAND-Hybrid,cooldown,0.1,0.15,5,0.003,0.9493264953295389,0.002795958858104306,172.33333333333334,0.27930848190167473,13.0,5.0
A-SAND-Hybrid,lambda_k,0.1,0.1,3,0.003,0.9491126934687296,0.008172551742161187,128.0,0.20745542949756887,22.0,0.1
A-SAND-Hybrid,lambda_k,0.1,0.15,3,0.003,0.9467607537905375,0.001924306154328025,107.33333333333333,0.17396002160994053,20.666666666666668,0.15
A-SAND-Hybrid,lambda_k,0.1,0.2,3,0.003,0.9474021991093954,0.006118919207558854,104.33333333333333,0.1690977849810913,21.666666666666668,0.2
A-SAND-Hybrid,plateau_tol,0.1,0.15,3,0.001,0.9491126736005148,0.002670508462578669,519.3333333333334,0.8417071853052404,2.0,0.001
A-SAND-Hybrid,plateau_tol,0.1,0.15,3,0.003,0.9480436245600382,0.0016970897744355306,97.0,0.1572123176661264,24.333333333333332,0.003
A-SAND-Hybrid,plateau_tol,0.1,0.15,3,0.005,0.9454778432846068,0.0,94.66666666666667,0.15343057806591026,22.0,0.005
A-SAND-Hybrid,prune_rate,0.05,0.15,3,0.003,0.950823167959849,0.002670508462578538,222.0,0.35980551053484594,21.666666666666668,0.05
A-SAND-Hybrid,prune_rate,0.1,0.15,3,0.003,0.9495403170585632,0.0018516816666457286,112.33333333333333,0.18206374932468936,21.666666666666668,0.1
A-SAND-Hybrid,prune_rate,0.15,0.15,3,0.003,0.9512508114178976,0.0011110158825388982,118.0,0.19124797406807126,15.333333333333334,0.15
