model,swept_param,prune_rate,lambda_k,cooldown,plateau_tol,acc_mean,acc_std,k_mean,k_ratio_mean,n_prunes_mean,param_value
A-SAND,cooldown,0.1,0.15,2,0.003,0.9938271641731262,0.007071881612404964,30.0,0.3896103896103896,11.333333333333334,2.0
A-SAND,cooldown,0.1,0.15,3,0.003,0.9938271443049113,0.005345849845842315,39.666666666666664,0.5151515151515151,8.333333333333334,3.0
A-SAND,cooldown,0.1,0.15,5,0.003,0.9969135920206705,0.0026729077165422166,35.0,0.4545454545454544,9.0,5.0
A-SAND,lambda_k,0.1,0.1,3,0.003,0.995370388031006,0.0,44.0,0.5714285714285714,8.0,0.1
A-SAND,lambda_k,0.1,0.15,3,0.003,0.9969135920206705,0.0026729077165422166,46.0,0.5974025974025974,7.666666666666667,0.15
A-SAND,lambda_k,0.1,0.2,3,0.003,0.9984567960103353,0.0026729077165422483,38.333333333333336,0.4978354978354978,9.333333333333334,0.2
A-SAND,plateau_tol,0.1,0.15,3,0.001,0.9938271641731262,0.007071881612405003,36.666666666666664,0.4761904761904762,11.0,0.001
A-SAND,plateau_tol,0.1,0.15,3,0.003,0.9938271641731262,0.002672942129300123,44.333333333333336,0.5757575757575757,8.0,0.003
A-SAND,plateau_tol,0.1,0.15,3,0.005,1.0,0.0,38.333333333333336,0.4978354978354978,9.333333333333334,0.005
A-SAND,prune_rate,0.05,0.15,3,0.003,0.9984567960103353,0.0026729077165422166,47.666666666666664,0.6190476190476191,12.666666666666666,0.05
A-SAND,prune_rate,0.1,0.15,3,0.003,0.9922839403152466,0.002672942129300123,40.333333333333336,0.5238095238095237,8.0,0.1
A-SAND,prune_rate,0.15,0.15,3,0.003,0.9876543283462524,0.011650966201138223,27.333333333333332,0.35497835497835495,9.666666666666666,0.15
A-SAND-Hybrid,cooldown,0.1,0.15,2,0.003,0.9274691541989645,0.018710422841311327,37.666666666666664,0.48917748917748916,11.333333333333334,2.0
A-SAND-Hybrid,cooldown,0.1,0.15,3,0.003,0.9135802586873373,0.00963733923191606,43.0,0.5584415584415584,9.333333333333334,3.0
A-SAND-Hybrid,cooldown,0.1,0.15,5,0.003,0.92438272635142,0.0070718751090319545,41.666666666666664,0.541125541125541,8.333333333333334,5.0
A-SAND-Hybrid,lambda_k,0.1,0.1,3,0.003,0.9120370546976725,0.008018757562384531,40.333333333333336,0.5238095238095237,11.333333333333334,0.1
A-SAND-Hybrid,lambda_k,0.1,0.15,3,0.003,0.9197530945142111,0.01165099383303042,34.0,0.4415584415584415,12.333333333333334,0.15
A-SAND-Hybrid,lambda_k,0.1,0.2,3,0.003,0.9259259303410848,0.004629641771348544,38.666666666666664,0.5021645021645021,10.333333333333334,0.2
A-SAND-Hybrid,plateau_tol,0.1,0.15,3,0.001,0.9259259303410846,0.02121563833378802,40.666666666666664,0.5281385281385281,9.333333333333334,0.001
A-SAND-Hybrid,plateau_tol,0.1,0.15,3,0.003,0.9182098706563314,0.009637339231916238,39.666666666666664,0.5151515151515151,10.333333333333334,0.003
A-SAND-Hybrid,plateau_tol,0.1,0.15,3,0.005,0.9367283781369528,0.02187878297659235,49.0,0.6363636363636364,8.0,0.005
A-SAND-Hybrid,prune_rate,0.05,0.15,3,0.003,0.9413580298423767,0.009637329687562769,46.333333333333336,0.6017316017316018,14.0,0.05
A-SAND-Hybrid,prune_rate,0.1,0.15,3,0.003,0.9120370348294576,0.05217324911717437,38.333333333333336,0.4978354978354978,10.666666666666666,0.1
A-SAND-Hybrid,prune_rate,0.15,0.15,3,0.003,0.9212963183720907,0.008018757562384555,44.666666666666664,0.5800865800865801,7.333333333333333,0.15
